Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
67,Metro,1/17/1997,1997,Walt Disney,Action,"$32,017,895","6,975,576"
68,Picture Perfect,8/1/1997,1997,20th Century Fox,Romantic Comedy,"$31,301,775","6,819,558"
69,Beverly Hills Ninja,1/17/1997,1997,Sony Pictures,Comedy,"$31,245,344","6,807,264"
70,The Little Mermaid,11/15/1989,1997,Walt Disney,Musical,"$29,678,678","6,465,942"
71,Fools Rush In,2/14/1997,1997,Sony Pictures,Romantic Comedy,"$29,299,524","6,383,338"
72,Romy and Michelle's High Sc…,4/25/1997,1997,Walt Disney,Comedy,"$29,235,353","6,369,357"
73,Shine,11/22/1996,1997,Fine Line,Drama,"$29,117,149","6,343,605"
74,Out to Sea,7/2/1997,1997,20th Century Fox,Romantic Comedy,"$28,985,323","6,314,885"
75,Father's Day,5/9/1997,1997,Warner Bros.,Comedy,"$28,681,080","6,248,601"
76,Grosse Pointe Blank,4/11/1997,1997,Walt Disney,Black Comedy,"$28,084,357","6,118,596"
77,The Edge,9/26/1997,1997,20th Century Fox,Thriller/Suspense,"$27,799,255","6,056,482"
78,Jackie Brown,12/25/1997,1997,Miramax,Drama,"$27,190,450","5,923,845"
79,Event Horizon,8/15/1997,1997,Paramount Pictures,Horror,"$26,673,242","5,811,163"
80,Air Bud,8/1/1997,1997,Walt Disney,Comedy,"$26,033,546","5,671,796"
81,Murder at 1600,4/18/1997,1997,Warner Bros.,Thriller/Suspense,"$25,842,024","5,630,070"
82,Mimic,8/22/1997,1997,Miramax,Horror,"$25,514,166","5,558,641"
83,For Richer or Poorer,12/12/1997,1997,Universal,Comedy,"$24,523,486","5,342,807"
84,Sling Blade,11/20/1996,1997,Miramax,Drama,"$24,335,157","5,301,777"
85,Home Alone III,12/12/1997,1997,20th Century Fox,Comedy,"$24,271,517","5,287,912"
86,Boogie Nights,10/10/1997,1997,New Line,Drama,"$23,841,916","5,194,317"
87,Good Burger,7/25/1997,1997,Paramount Pictures,Comedy,"$23,712,993","5,166,229"
88,Midnight in the Garden of G…,11/21/1997,1997,Warner Bros.,Thriller/Suspense,"$23,616,463","5,145,198"
89,Hoodlum,8/27/1997,1997,MGM,Drama,"$23,489,997","5,117,646"
90,Red Corner,10/31/1997,1997,MGM,Thriller/Suspense,"$22,290,435","4,856,303"
91,An American Werewolf in Paris,12/25/1997,1997,Walt Disney,Horror,"$20,105,359","4,380,252"
92,Booty Call,2/26/1997,1997,Sony Pictures,Comedy,"$20,066,917","4,371,877"
93,Gone Fishin',5/30/1997,1997,Walt Disney,Comedy,"$19,745,922","4,301,943"
94,Mother,12/25/1996,1997,Paramount Pictures,Comedy,"$18,596,826","4,051,596"
