Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Clueless,US,1995,Amy Heckerling, 816 939, 827 397
Nick of Time,US,1995,John Badham, 806 713, 817 614
I Laureati,IT,1995,Leonardo Pieraccioni, 797 237, 797 283
Wallace & Gromit: The Aardman Collection 2,GB,1996,Nick Park, 795 328,1 106 807
Gazon maudit,FR,1995,Josiane Balasko, 795 097, 808 087
Last Dance,US,1996,Bruce Beresford, 792 597, 800 774
Beautiful Girls,US,1996,Ted Demme, 787 407, 928 870
La belle verte,FR,1996,Coline Serreau, 780 576, 819 463
Delphine : 1 - Yvan : 0,FR,1996,Dominique Farrugia, 766 837, 767 045
A Little Princess,US,1995,Alfonso Cuarón, 763 600, 763 661
Sgt. Bilko,US,1996,Jonathan Lynn, 761 197, 782 220
Something to Talk About,US,1995,Lasse Hallström, 753 931, 754 533
Workaholic,DE,1996,Sharon von Wietersheim, 743 819, 745 490
El día de la bestia,ES,1995,Álex de la Iglesia, 740 864, 771 522
The Crow: City of Angels,US,1996,Tim Pope, 733 543,1 375 806
A Walk in the Clouds,US,1995,Alfonso Arau, 727 814, 732 217
Moonlight and Valentino,US,1995,David Anspaugh, 723 457, 723 599
Abbuzze! Der Badesalz Film,DE,1996,Roland Willaert, 718 934, 718 934
Hercule & Sherlock,FR,1996,Jeannot Szwarc, 717 823,1 009 553
The Swan Princess,US,1994,Richard Rich, 716 981, 771 646
Sono pazzo di Iris Blond,IT,1996,Carlo Verdone, 715 968,1 040 090
Mary Reilly,US,1996,Stephen Frears, 712 622, 714 043
Il ciclone,IT,1996,Leonardo Pieraccioni, 711 520,5 599 149
Mr. Holland's Opus,US,1995,Stephen Herek, 710 126, 713 963
Mulholland Falls,US,1996,Lee Tamahori, 697 974, 729 577
Bed of Roses,US,1996,Michael Goldenberg, 675 597, 677 259
Things to Do in Denver When You're Dead,US,1995,Gary Fleder, 668 151, 951 244
Carla's Song,"GB, ES, DE",1996,Ken Loach, 666 128, 873 877
The Island of Dr. Moreau,US,1996,"John Frankenheimer, Richard Stanley", 658 134,1 219 354
Richard III,"GB, US",1995,Richard Loncraine, 657 603, 702 335
Jerusalem,"SE, DK, NO, FI",1996,Bille August, 657 262, 769 251
Underground,"FR, DE, HU",1995,Emir Kusturica, 651 424, 684 254
Before and After,US,1996,Barbet Schroeder, 648 825, 682 702
Casper,US,1995,Brad Silberling, 639 626, 676 128
High School High,US,1996,Hart Bochner, 637 450,2 305 662
Kids,US,1995,Larry Clark, 634 622, 717 590
White Squall,US,1996,Ridley Scott, 631 651, 690 436
Bernie,FR,1996,Albert Dupontel, 625 223, 894 079
Conte d'été,FR,1996,Eric Rohmer, 623 722, 689 038
Un héros très discret,FR,1996,Jacques Audiard, 598 403, 719 591
Ransom,US,1996,Ron Howard, 594 559,14 898 600
Nixon,US,1995,Oliver Stone, 591 834, 597 356
Mon homme,FR,1996,Bertrand Blier, 589 880, 603 475
Bámbola,"IT, ES, FR",1996,Bigas Luna, 583 074, 606 236
Nach Fünf im Urwald,DE,1996,Hans-Christian Schmid, 581 735, 582 714
Libertarias,"ES, IT, BE",1996,Vicente Aranda, 576 874, 583 043
The Substitute,US,1996,Robert Mandel, 573 246, 582 148
Hung fan kui,"HK, CA",1995,Stanley Tong, 558 776, 827 503
"Aquí llega Condemor, el pecador de la pradera",ES,1996,Álvaro Sáenz de Heredia, 556 177, 561 790
"To Wong Foo, Thanks for Everything! Julie Newmar",US,1995,Beeban Kidron, 538 941, 548 254
Grumpier Old Men,US,1995,Howard Deutch, 534 579, 539 312
Les grands ducs,FR,1995,Patrice Leconte, 531 875, 545 820
The Santa Clause,US,1994,John Pasquin, 521 766, 531 868
Men in Black,US,1997,Barry Sonnenfeld,33 365 371,33 506 889
The Lost World: Jurassic Park,US,1997,Steven Spielberg,28 528 901,28 619 835
Bean,"GB, US",1997,Mel Smith,25 037 816,25 810 051
Le cinquième élément,FR,1997,Luc Besson,19 780 015,20 808 963
The Full Monty,GB,1997,Peter Cattaneo,18 990 120,25 457 688
